Restaurant_ID,City,Cuisine_Type,Average_Meal_Price,Seating_Capacity,Years_in_Business,Google_Rating,Social_Media_Followers,Weekend_Reservations,Staff_Count,Delivery_Service,Marketing_Budget,Health_Inspection_Score,Annual_Revenue,Success_Label
R0314,New York,Chinese,36,144,28,3.4,6958,35,26,Yes,5175,54,1215470,0
R0315,Los Angeles,Japanese,41,130,20,3.5,2221,81,35,Yes,12303,99,1257563,0
R0316,Los Angeles,American,30,117,25,2.8,27260,270,47,Yes,8453,91,1494500,1
R0317,Chicago,Japanese,17,36,17,2.9,45256,263,14,Yes,4877,72,481965,0
R0318,Los Angeles,Mexican,47,118,13,4.6,21006,280,16,Yes,11099,64,1143565,1
R0319,Los Angeles,Mexican,17,101,18,4.0,19672,132,32,No,7558,80,1907114,1
R0320,Chicago,Japanese,12,123,2,3.3,4236,153,10,Yes,17706,58,1902139,0
R0321,Los Angeles,Mexican,12,38,13,4.5,16827,266,24,Yes,12394,92,1931561,1
R0322,Los Angeles,Italian,31,104,13,3.1,32267,153,9,No,3439,74,1025648,0
R0323,Los Angeles,Vegan,15,27,22,4.9,45521,268,27,Yes,1531,74,1105129,1
R0324,New York,Mexican,11,47,15,3.4,15579,56,13,No,10708,98,1640745,1
R0325,New York,Indian,32,24,20,3.3,31476,22,33,Yes,1062,70,51379,0
R0326,New York,Mexican,11,120,29,3.3,4923,217,20,Yes,11230,58,402935,0
R0327,Chicago,Chinese,47,137,27,2.8,5020,244,26,Yes,17224,97,1466384,0
R0328,San Francisco,Italian,26,83,10,2.8,19685,158,12,Yes,16652,87,119306,1
R0329,Los Angeles,Chinese,44,110,29,4.1,38339,164,24,Yes,14498,71,1511518,1
R0330,Los Angeles,Chinese,43,136,3,4.7,17372,175,18,No,19180,92,1342401,1
R0331,Chicago,Indian,32,117,19,4.5,26719,99,43,Yes,17118,72,976592,1
R0332,Los Angeles,Italian,39,30,3,2.9,9633,195,41,No,9808,98,1526106,0
R0333,New York,Italian,17,73,22,3.9,39995,183,38,Yes,10109,53,561030,1
R0334,San Francisco,Italian,31,66,14,2.8,3820,226,15,Yes,18175,78,1727376,0
R0335,Houston,Italian,45,24,8,2.6,19367,273,44,Yes,9220,64,328494,1
R0336,Los Angeles,Italian,14,39,27,4.1,15796,106,37,Yes,10672,50,1598971,1
R0337,New York,Indian,22,65,23,3.8,30068,126,35,No,14957,79,1198175,1
R0338,Houston,Mexican,38,31,4,2.7,23445,208,48,No,3439,78,1704261,0
R0339,San Francisco,Chinese,40,89,27,2.6,25793,30,38,No,14845,69,1440229,1
R0340,Houston,Italian,25,36,28,5.0,19485,209,11,Yes,16658,82,592057,1
R0341,New York,American,39,134,20,2.6,18222,257,27,Yes,5935,90,752609,1
R0342,Houston,Mexican,25,67,11,3.6,1464,285,11,Yes,5892,93,675872,0
R0343,Chicago,Mexican,21,127,26,3.8,2808,273,29,No,8472,85,1407085,0
R0344,Houston,Chinese,26,71,11,2.8,13082,67,7,Yes,18117,71,362329,1
R0345,Los Angeles,Indian,25,115,27,2.9,17408,40,42,Yes,19684,62,1756722,1
R0346,Los Angeles,Japanese,21,89,11,3.4,33019,258,24,Yes,15299,56,1854473,1
R0347,Chicago,Japanese,17,121,2,4.4,25261,102,38,Yes,19659,57,1225101,1
R0348,New York,Mexican,29,94,17,3.8,35189,274,48,Yes,15552,77,1493412,1
R0349,Los Angeles,Vegan,12,101,9,4.1,13965,280,48,Yes,6544,94,610591,1
R0350,San Francisco,Vegan,25,111,28,5.0,595,103,34,No,14915,92,1118165,0
R0351,Los Angeles,Chinese,39,23,28,4.4,44855,163,21,No,17774,58,1363602,1
R0352,Los Angeles,Japanese,32,128,2,3.6,2248,294,14,Yes,14358,74,230394,0
R0353,New York,Mexican,37,67,29,3.6,33424,89,39,Yes,18072,65,703524,1
R0354,Houston,Indian,49,92,24,4.0,13493,93,24,Yes,6144,59,467740,1
R0355,Los Angeles,Japanese,14,91,15,4.2,1652,46,22,No,17624,60,1894753,0
R0356,Chicago,Mexican,29,135,16,3.8,35953,241,49,No,18253,80,1069705,1
R0357,Houston,Mexican,49,100,25,4.1,33024,102,48,No,18884,61,65861,1
R0358,San Francisco,Italian,10,100,4,2.6,9026,111,31,No,18355,80,665995,0
R0359,New York,Indian,39,132,8,3.6,30951,175,40,Yes,18420,63,1414981,1
R0360,San Francisco,Italian,30,115,9,3.2,23989,168,27,No,17202,93,1877907,1
R0361,Houston,Chinese,29,91,26,2.8,40030,23,36,Yes,5653,81,708197,1
R0362,Houston,Italian,15,82,26,2.7,8155,234,14,Yes,2394,99,386279,0
R0363,Houston,American,31,57,5,4.0,4754,82,15,No,8491,66,628668,0
R0364,San Francisco,Italian,27,86,16,3.8,22734,258,42,Yes,15939,84,1971097,1
R0365,Houston,American,17,88,13,3.1,32463,100,10,Yes,9967,50,679313,1
R0366,San Francisco,Japanese,48,32,7,3.7,11568,225,45,Yes,6435,78,1803767,1
R0367,Houston,Vegan,41,50,26,3.7,33022,99,38,Yes,17607,53,270421,1
R0368,Chicago,Mexican,42,133,20,3.0,40818,38,40,No,2829,72,1005759,0
R0369,Houston,American,25,41,17,4.1,48191,229,41,Yes,9827,77,1343073,1
R0370,San Francisco,Indian,21,112,3,4.5,17480,224,21,Yes,3270,65,1783456,1
R0371,Los Angeles,Italian,47,86,5,4.5,26970,230,44,Yes,5346,61,1521333,1
R0372,Houston,American,43,73,19,4.0,37494,51,44,Yes,17151,70,1033276,1
R0373,Los Angeles,Indian,23,61,12,3.8,14359,144,16,Yes,16776,94,94397,1
R0374,Chicago,Vegan,45,83,29,2.7,14973,51,25,Yes,15133,66,913517,1
R0375,New York,Vegan,42,145,27,3.2,13116,173,44,Yes,14128,89,900297,1
R0376,Chicago,Italian,32,40,7,2.7,42237,292,23,No,1069,62,1940964,0
R0377,Houston,Chinese,11,54,28,4.9,253,67,7,No,2473,81,1519245,0
R0378,Los Angeles,Italian,30,49,9,2.8,7953,34,22,Yes,3322,86,1554137,0
R0379,Los Angeles,Japanese,11,76,28,2.9,12479,82,23,Yes,770,99,937159,0
R0380,San Francisco,American,36,66,6,4.7,15892,138,10,Yes,16820,64,1504698,1
R0381,Los Angeles,Mexican,18,38,29,4.9,38467,96,20,No,8141,61,327132,1
R0382,San Francisco,Chinese,10,133,26,4.4,18200,162,12,Yes,9430,98,1257371,1
R0383,New York,Italian,20,27,17,2.5,47653,191,22,No,7180,64,608088,1
R0384,Houston,Indian,12,45,16,2.5,11149,134,47,No,1757,83,208502,0
R0385,San Francisco,Chinese,32,132,23,3.4,886,76,43,No,8750,55,1524327,0
R0386,New York,American,35,90,3,2.9,4468,15,16,No,5870,66,249548,0
R0387,Los Angeles,Chinese,13,49,21,2.5,30799,134,49,Yes,5358,97,1356229,1
R0388,Los Angeles,American,27,86,26,3.7,47791,62,14,Yes,9081,98,1972337,1
R0389,New York,Italian,15,84,4,4.9,37140,75,11,No,13991,69,1675148,1
R0390,Los Angeles,American,44,55,10,3.3,27554,91,5,Yes,12936,58,1679096,1
R0391,New York,Chinese,31,44,5,4.2,38862,96,40,Yes,13370,54,94420,1
R0392,San Francisco,Indian,24,56,21,4.1,23700,11,25,Yes,17004,72,874142,1
R0393,San Francisco,Vegan,31,20,22,3.1,29338,213,41,Yes,7408,82,1564289,1
R0394,New York,Chinese,46,56,10,4.1,25341,159,28,No,11344,87,666323,1
R0395,San Francisco,American,21,147,12,3.0,19910,112,29,Yes,19187,63,1532290,1
R0396,San Francisco,Vegan,47,146,10,2.8,20267,33,11,Yes,5361,66,867715,1
R0397,San Francisco,American,27,20,29,4.3,21911,221,46,No,3411,68,1295817,1
R0398,Chicago,Indian,44,54,13,2.8,39879,74,21,No,9491,82,1039862,1
R0399,Houston,American,39,123,11,5.0,20185,218,33,Yes,12072,50,1816393,1
R0400,Los Angeles,Italian,33,42,22,3.0,46954,260,34,Yes,10798,62,1348439,1
R0401,Chicago,Mexican,39,28,16,4.0,9361,126,11,Yes,7736,95,75968,0
R0402,San Francisco,Chinese,23,53,8,3.5,18833,125,37,Yes,6065,76,1161084,1
R0403,New York,Mexican,15,147,8,2.8,39879,246,11,Yes,17993,55,810151,1
R0404,San Francisco,American,12,23,27,2.6,29179,114,28,Yes,7429,55,1817156,1
R0405,Houston,Indian,25,121,25,4.1,34080,268,15,No,18134,82,425579,1
R0406,San Francisco,Chinese,16,94,8,4.5,14241,55,13,Yes,18533,79,1183942,1
R0407,New York,American,23,118,13,4.6,9444,225,16,Yes,7851,95,1628602,1
R0408,Houston,Vegan,18,91,27,3.7,39572,33,39,Yes,19840,84,1101674,1
R0409,San Francisco,Japanese,24,22,2,4.4,15996,44,8,Yes,15401,72,1194000,1
R0410,Houston,American,30,53,12,4.2,23917,33,40,No,11138,59,778993,1
R0411,Los Angeles,Mexican,44,64,10,4.3,29913,37,32,Yes,6328,68,1701536,1
R0412,Los Angeles,Chinese,11,80,12,3.7,18995,25,17,Yes,12056,77,1398964,1
R0413,San Francisco,Mexican,36,102,11,4.1,243,68,27,Yes,18599,72,1762189,0
R0414,Houston,Chinese,11,142,15,4.5,10781,252,23,No,8650,53,1939341,1
R0415,New York,American,44,121,16,3.5,7467,216,46,Yes,10607,69,1223925,0
R0416,San Francisco,Italian,27,35,17,4.5,3328,280,41,Yes,2257,68,625257,1
R0417,Los Angeles,Vegan,23,85,26,4.0,4682,258,43,Yes,18693,91,665032,0
R0418,Los Angeles,American,29,138,2,2.9,13247,276,28,No,11699,76,251495,1
R0419,San Francisco,Mexican,27,143,18,2.6,11497,202,20,Yes,16795,83,167286,1
R0420,Houston,Japanese,19,121,12,3.4,38899,227,37,Yes,13307,53,1011915,1
R0421,Los Angeles,Japanese,34,85,19,3.9,37111,124,16,Yes,18035,87,1173604,1
R0422,Houston,Indian,11,32,26,4.6,13747,77,38,Yes,5992,56,1920429,1
R0423,Los Angeles,Chinese,34,130,23,2.8,27818,84,11,No,6802,97,968958,1
R0424,Los Angeles,Mexican,42,53,18,4.5,44364,112,15,No,16429,56,985026,1
R0425,Chicago,Indian,45,58,17,4.7,42417,187,35,Yes,5247,99,88575,1
R0426,Los Angeles,Mexican,40,139,6,2.9,48014,224,33,Yes,14738,75,1626056,1
R0427,New York,Chinese,23,145,25,4.6,19197,48,17,Yes,8902,75,1733980,1
R0428,San Francisco,American,10,74,15,5.0,37053,268,35,Yes,11186,68,1547060,1
R0429,San Francisco,American,25,46,3,4.3,45354,213,6,Yes,5181,58,964306,1
R0430,Houston,Japanese,12,137,6,4.5,40196,16,43,Yes,19391,69,655599,1
R0431,Los Angeles,American,44,72,3,5.0,49552,58,19,Yes,19847,91,977906,1
R0432,New York,American,15,58,29,4.0,17207,35,15,Yes,3928,94,1046114,0
R0433,Houston,Italian,34,84,1,3.3,3110,170,38,No,7994,99,655069,0
R0434,Chicago,Japanese,22,32,13,4.6,5655,185,43,No,4455,65,1659391,1
R0435,Houston,Indian,43,40,28,4.0,167,88,8,No,14526,66,626469,0
R0436,Houston,Vegan,17,72,21,4.0,28512,11,15,Yes,9744,71,665760,1
R0437,Los Angeles,Italian,30,38,26,3.1,45053,141,33,No,1213,62,994506,0
R0438,Chicago,Indian,43,76,14,4.4,34405,285,6,Yes,11580,61,1704083,1
R0439,Houston,Chinese,13,44,13,2.7,49649,126,20,Yes,9021,59,979964,1
R0440,New York,Italian,34,50,27,4.8,11649,173,43,No,2246,50,169783,0
R0441,New York,Indian,24,100,4,3.3,5780,297,17,Yes,18091,81,211554,0
R0442,San Francisco,Chinese,13,42,7,2.8,25839,37,41,Yes,17668,79,983951,1
R0443,Chicago,Japanese,21,51,22,3.6,21309,10,21,Yes,3196,57,229300,0
R0444,Chicago,Vegan,41,93,10,2.6,41615,197,25,Yes,12512,70,1706129,1
R0445,San Francisco,Chinese,41,29,7,4.2,22532,65,48,Yes,15188,71,1148702,1
R0446,Houston,American,37,73,21,4.8,15216,44,23,Yes,5536,67,1905553,1
R0447,Chicago,Mexican,22,71,15,4.6,20145,121,11,No,7627,51,1153690,1
R0448,New York,Chinese,40,133,15,2.8,26427,295,42,Yes,4218,97,1454460,0
R0449,New York,Chinese,23,33,4,2.8,35809,45,12,Yes,8410,93,256422,1
R0450,Los Angeles,Vegan,29,129,23,4.5,43717,226,17,Yes,3193,58,763161,1
R0451,Chicago,Mexican,27,72,23,4.8,27005,89,41,Yes,17509,52,850322,1
R0452,Houston,American,38,98,6,3.7,7167,92,6,No,16358,75,171284,0
R0453,San Francisco,Indian,15,41,24,3.7,32659,74,45,Yes,16432,70,1413202,1
R0454,San Francisco,Indian,41,49,20,3.3,43019,137,15,Yes,8192,79,1293045,1
R0455,Houston,Chinese,38,23,26,4.7,18085,31,28,Yes,6898,77,1240866,1
R0456,Los Angeles,Mexican,11,78,5,4.1,27469,225,10,No,7752,85,1432311,1
R0457,San Francisco,Mexican,32,27,20,3.2,17964,116,30,No,12221,75,662529,1
R0458,Chicago,American,28,31,12,3.2,22714,118,11,Yes,18439,83,871154,1
R0459,Los Angeles,Vegan,40,138,1,4.7,47994,190,43,Yes,12325,57,885863,1
R0460,Chicago,Japanese,14,53,28,2.5,15713,173,23,Yes,4687,59,1281191,0
R0461,New York,Indian,28,101,8,3.3,6547,77,10,Yes,536,97,354144,0
R0462,Los Angeles,Vegan,43,117,1,3.9,5599,189,47,Yes,18671,92,1956983,0
R0463,San Francisco,Italian,19,146,5,2.9,39141,190,33,No,6783,99,1653785,1
R0464,Los Angeles,Indian,34,94,22,2.7,31415,178,47,Yes,15702,63,935697,1
R0465,Los Angeles,Vegan,11,124,6,4.5,1399,31,43,No,8560,89,1449467,0
R0466,Los Angeles,Indian,20,68,29,4.7,39569,75,6,Yes,8565,64,211686,1
R0467,Los Angeles,Japanese,40,98,21,4.6,5094,30,23,Yes,4380,66,1815125,0
R0468,Chicago,Italian,24,112,3,4.7,29978,109,8,Yes,6432,67,591889,1
R0469,New York,Japanese,18,37,15,3.9,15727,112,10,Yes,8828,81,1716196,1
R0470,Houston,American,32,115,5,4.5,7589,56,41,Yes,6833,87,1483974,0
R0471,Los Angeles,Italian,28,57,28,3.5,26211,48,32,Yes,14370,72,776903,1
R0472,San Francisco,Chinese,18,106,24,4.2,32455,294,34,Yes,11768,95,1559404,1
R0473,Los Angeles,Vegan,44,107,14,5.0,8369,99,11,Yes,5567,72,431148,0
R0474,San Francisco,Italian,30,69,18,3.1,2931,94,13,Yes,16116,84,1858436,0
R0475,Chicago,American,18,27,16,3.5,44470,282,29,Yes,12575,88,983796,1
R0476,San Francisco,American,37,88,6,3.7,11919,197,37,Yes,17545,64,999014,1
R0477,Houston,Japanese,16,140,25,2.8,24913,168,5,Yes,8473,73,340144,1
R0478,New York,Indian,25,83,24,2.7,21737,252,10,Yes,10502,77,1229015,1
R0479,San Francisco,Italian,25,140,14,4.6,2096,82,22,Yes,8387,65,1338267,0
R0480,San Francisco,Vegan,42,84,27,4.9,44487,58,14,No,914,65,1217853,0
R0481,New York,Italian,13,126,24,3.5,49529,110,32,No,7350,89,342527,1
R0482,Houston,Mexican,13,119,8,2.7,3189,11,15,Yes,3229,88,1241433,0
R0483,Los Angeles,Indian,48,101,29,2.7,33391,253,37,Yes,12429,55,1663774,1
R0484,San Francisco,Vegan,49,70,7,4.7,20759,185,5,Yes,15488,51,1792964,1
R0485,New York,Vegan,26,102,8,3.7,45278,247,17,No,4397,62,1778791,0
R0486,Chicago,Chinese,46,131,13,3.3,30529,68,41,Yes,2669,93,860713,0
R0487,New York,Japanese,48,75,6,3.7,15832,108,24,Yes,14063,96,1474558,1
R0488,Chicago,Chinese,38,79,18,3.3,19606,11,5,No,18762,58,579129,1
R0489,Houston,Vegan,45,139,2,3.7,41035,252,7,Yes,13388,83,1195780,1
R0490,Los Angeles,Indian,47,42,8,4.6,5290,220,22,Yes,5070,66,1158731,1
R0491,New York,Italian,48,32,11,4.0,4675,132,45,Yes,2015,76,368457,0
R0492,San Francisco,Italian,46,120,1,4.2,40595,238,18,Yes,17458,78,1616529,1
R0493,Houston,Indian,44,43,22,3.4,48246,91,35,No,13134,86,1882453,1
R0494,New York,Vegan,16,127,29,4.3,34665,153,31,No,19751,92,835428,1
R0495,San Francisco,American,36,30,6,4.2,34999,149,21,Yes,14298,71,1996696,1
R0496,New York,Italian,37,36,16,2.8,23806,38,33,Yes,4977,73,568985,0
R0497,Chicago,American,31,44,27,3.9,47768,279,40,Yes,16955,56,1247091,1
R0498,New York,Italian,23,113,20,3.1,22984,256,41,Yes,19864,83,1524042,1
R0499,New York,Italian,16,40,12,4.5,17299,21,30,Yes,10051,97,1231570,1
R0500,New York,Japanese,46,103,11,3.6,44200,115,21,Yes,14679,61,868408,1
R0501,Houston,Japanese,31,56,29,5.0,39534,41,26,Yes,539,72,717351,0
R0502,New York,Mexican,14,61,27,2.7,49394,83,29,Yes,10722,64,1202981,1
R0503,San Francisco,Chinese,11,120,29,4.5,12579,180,6,Yes,16616,82,1676608,1
R0504,Chicago,Indian,36,67,10,4.2,34278,78,26,Yes,18784,62,576761,1
R0505,Chicago,Indian,30,122,3,4.4,12765,146,9,Yes,19101,72,713468,1
R0506,New York,Indian,47,47,13,3.3,634,109,8,Yes,16549,87,1651579,0
R0507,Houston,Mexican,24,60,27,3.7,26392,155,40,Yes,5296,81,294826,1
R0508,Houston,Japanese,30,118,3,4.5,36232,18,10,Yes,5106,94,1352432,1
R0509,San Francisco,Vegan,19,66,15,3.1,36210,71,25,Yes,18167,99,813707,1
R0510,New York,American,32,124,16,3.1,22569,194,17,Yes,9275,84,569637,1
R0511,Chicago,American,48,143,29,3.9,46333,38,41,Yes,15364,50,1875372,1
R0512,Houston,Vegan,14,32,13,3.8,37368,123,29,Yes,14693,96,475426,1
R0513,New York,Mexican,10,119,17,3.2,1272,152,30,Yes,15176,94,1082018,0
R0514,Houston,Vegan,22,50,3,3.2,28014,129,43,No,10957,54,1922325,1
R0515,Houston,Indian,30,149,20,3.2,21001,179,24,Yes,17699,62,1426236,1
R0516,Chicago,Chinese,35,35,11,4.4,40875,166,37,Yes,16544,54,738722,1
R0517,Los Angeles,Italian,30,92,27,4.1,34509,269,18,Yes,15566,81,1153180,1
R0518,San Francisco,American,27,73,21,4.6,49723,91,40,Yes,19395,70,558410,1
R0519,San Francisco,Japanese,46,119,19,4.9,19424,251,21,Yes,746,73,1103465,1
R0520,Chicago,Japanese,41,128,22,3.7,8838,181,25,Yes,7016,67,1843493,0
R0521,Houston,Mexican,45,106,11,2.7,37594,240,20,Yes,17300,70,910180,1
R0522,New York,Japanese,26,27,28,2.6,44657,217,20,Yes,13842,59,868403,1
R0523,Houston,Indian,44,26,16,3.2,24154,84,24,Yes,16991,73,1673415,1
R0524,Chicago,American,20,55,21,4.8,29809,279,33,Yes,9530,89,708561,1
R0525,San Francisco,Vegan,30,37,3,3.8,43885,123,32,No,1921,96,1335806,0
R0526,Houston,Indian,35,22,22,3.2,20207,71,12,Yes,13470,70,286139,1
R0527,San Francisco,Mexican,13,47,6,3.5,463,111,28,No,7783,74,1731821,0
R0528,New York,Indian,43,89,14,4.0,10458,219,7,No,16445,72,1188458,1
R0529,San Francisco,Vegan,27,47,24,4.1,36177,264,29,Yes,755,71,350102,0
R0530,San Francisco,Chinese,49,73,18,2.9,49797,29,23,Yes,11519,53,1833187,1
R0531,Los Angeles,Mexican,44,84,17,4.9,3340,67,37,Yes,15987,83,1366401,0
R0532,Los Angeles,Chinese,38,119,4,3.9,6765,121,6,No,9529,55,151982,0
R0533,Los Angeles,Italian,38,40,23,2.8,45789,205,19,No,19846,77,96870,1
R0534,San Francisco,Chinese,47,32,15,4.7,2036,101,26,Yes,2782,80,263328,0
R0535,Chicago,Italian,30,76,11,2.7,46836,61,14,No,9244,84,1952211,1
R0536,San Francisco,Italian,22,68,26,4.8,25638,17,22,Yes,18361,88,209224,1
R0537,Chicago,Chinese,26,137,3,5.0,44065,107,26,Yes,10419,91,1672925,1
R0538,Chicago,Mexican,18,73,3,4.3,12098,245,31,No,13835,72,238691,1
R0539,Los Angeles,Vegan,10,72,16,4.4,982,78,17,No,1091,55,632523,0
R0540,Houston,Indian,11,63,5,3.3,20324,54,37,Yes,6777,65,1041244,1
R0541,New York,Indian,38,66,21,4.9,39791,146,9,No,2760,51,1922898,0
R0542,Los Angeles,Vegan,42,72,29,3.8,46576,243,30,No,11639,73,1712937,1
R0543,Los Angeles,American,19,93,10,4.3,30925,41,17,No,847,66,1946409,0
R0544,Houston,American,49,65,19,4.8,5304,298,31,No,4943,94,1634081,1
R0545,New York,Italian,30,32,25,4.9,28985,135,18,No,11588,50,360495,1
R0546,San Francisco,Italian,37,121,4,4.6,40156,76,28,Yes,9274,55,870173,1
R0547,San Francisco,Mexican,20,43,29,3.3,3303,39,7,No,7369,54,463870,0
R0548,Los Angeles,Japanese,43,21,29,4.9,2344,123,34,Yes,19922,94,1290962,0
R0549,New York,Chinese,17,100,19,4.1,32886,213,39,No,3345,99,1362128,1
R0550,Los Angeles,Italian,31,119,11,4.8,49893,38,18,Yes,12886,78,571817,1
R0551,Chicago,Indian,17,130,2,4.2,3183,140,16,Yes,1765,61,1665767,0
R0552,Los Angeles,Mexican,24,121,10,3.3,21684,194,32,Yes,12945,88,1838144,1
R0553,Los Angeles,Chinese,26,36,29,3.4,8621,262,48,Yes,13438,96,157042,0
R0554,San Francisco,Mexican,32,31,11,3.9,33641,295,33,Yes,11659,52,818013,1
R0555,San Francisco,Chinese,33,135,25,4.5,29163,71,47,No,2774,97,706578,0
R0556,San Francisco,Chinese,28,43,20,3.3,4832,12,21,No,19354,50,1280220,0
R0557,Chicago,Vegan,14,48,16,3.9,27618,77,44,Yes,10982,76,1026302,1
R0558,San Francisco,Italian,41,141,19,3.4,39663,34,25,No,19461,97,1593473,1
R0559,New York,Mexican,10,109,23,4.5,39852,188,27,No,1568,73,434333,0
R0560,Houston,Mexican,32,84,24,3.7,29797,150,24,Yes,15206,93,683556,1
R0561,New York,Vegan,46,103,11,2.7,2667,240,15,Yes,6474,68,1652969,0
R0562,New York,Indian,17,138,14,2.9,16221,172,38,No,11428,57,1168210,1
R0563,San Francisco,Indian,22,35,2,2.7,1774,139,14,Yes,2450,93,1478146,0
R0564,Houston,American,17,123,23,3.7,10975,255,14,No,19977,96,188691,1
R0565,Houston,Italian,32,111,28,2.8,44440,181,47,No,10911,51,1503731,1
R0566,Houston,Italian,10,46,5,2.8,839,73,10,No,13888,79,1116802,0
R0567,Chicago,Japanese,33,52,27,4.9,1645,40,40,Yes,18271,79,1123898,0
R0568,San Francisco,Vegan,44,74,5,4.7,29240,56,28,Yes,4774,98,1943223,0
R0569,Houston,Indian,33,26,19,3.6,9427,139,16,Yes,2785,88,984382,0
R0570,Chicago,Chinese,26,76,21,5.0,5227,119,47,Yes,19808,94,741572,0
R0571,Los Angeles,Mexican,14,145,12,2.5,23431,78,27,Yes,7545,81,144835,1
R0572,Los Angeles,Italian,29,31,18,4.0,23104,67,31,Yes,2118,50,1353603,0
R0573,Chicago,Mexican,30,35,4,4.0,41933,115,49,Yes,11479,87,123079,1
R0574,Chicago,Mexican,49,62,22,3.6,10592,265,41,No,9062,62,1122522,1
R0575,San Francisco,Japanese,40,136,17,3.5,13849,180,10,Yes,12526,60,1785676,1
R0576,San Francisco,Indian,45,130,10,3.6,23608,171,5,Yes,8343,59,947165,1
R0577,Los Angeles,Italian,20,70,20,3.5,9145,295,10,Yes,10395,97,1105829,0
R0578,Houston,Mexican,24,94,6,4.3,20216,80,26,Yes,12466,75,129311,1
R0579,Los Angeles,Italian,28,27,25,2.8,18767,264,45,Yes,18232,69,869245,1
R0580,Houston,Chinese,16,64,14,3.0,9621,64,28,No,5789,66,1031835,0
R0581,Houston,Japanese,37,78,11,3.0,8769,12,29,Yes,19306,66,995136,0
R0582,San Francisco,Chinese,14,123,11,3.2,27402,35,19,No,19312,53,1409085,1
R0583,New York,Italian,14,117,29,3.8,11383,135,30,Yes,3533,54,1690457,0
R0584,New York,American,39,98,18,2.8,31035,62,12,No,9360,72,1004940,1
R0585,Chicago,Italian,41,143,27,4.7,7098,207,28,No,8313,95,1248061,1
R0586,San Francisco,Indian,17,23,23,3.2,28906,197,42,No,18298,59,276833,1
R0587,Houston,Mexican,19,109,22,2.9,31724,195,10,No,14360,95,612773,1
R0588,New York,Mexican,47,123,18,4.2,13540,213,39,No,14794,77,1297880,1
R0589,Houston,Chinese,41,138,24,2.6,45565,20,46,No,4121,82,947936,0
R0590,New York,Japanese,37,75,23,4.0,46601,155,5,Yes,17638,92,1901109,1
R0591,New York,American,26,115,11,4.2,21897,94,40,Yes,2847,75,1631695,0
R0592,New York,Vegan,40,94,21,3.0,1369,109,16,Yes,15382,99,1576375,0
R0593,San Francisco,Mexican,17,51,12,2.6,7968,113,42,Yes,17610,97,1412617,0
R0594,Los Angeles,Indian,49,47,5,3.4,30351,55,15,Yes,5423,78,1103580,1
R0595,Houston,Chinese,34,41,23,2.7,12473,53,16,Yes,19533,76,1406644,1
R0596,San Francisco,Chinese,18,36,9,2.8,19087,287,46,No,16111,67,1513301,1
R0597,San Francisco,Vegan,11,78,27,3.1,38829,190,43,No,15867,89,1087140,1
R0598,San Francisco,Indian,24,109,25,3.2,15834,196,11,Yes,19699,59,87170,1
R0599,San Francisco,Japanese,12,125,9,3.8,42529,123,15,Yes,9566,91,1666419,1
R0600,San Francisco,Indian,45,45,22,4.2,41437,264,40,No,3779,54,1506454,1
R0601,Chicago,Japanese,13,44,10,4.0,40425,39,35,Yes,19868,59,1216691,1
R0602,Houston,Indian,23,64,22,2.9,18164,273,37,No,4307,99,940648,0
R0603,San Francisco,Indian,34,102,19,2.9,8533,107,17,Yes,14465,70,902362,0
R0604,Houston,Italian,19,30,1,4.7,48521,124,22,Yes,16623,73,228475,1
R0605,Chicago,Chinese,30,123,7,3.9,9211,285,45,Yes,17491,87,348509,0
R0606,Chicago,Indian,45,87,4,4.7,38550,290,28,No,1134,52,1422908,1
R0607,Houston,Vegan,21,114,1,3.4,48347,284,13,Yes,13271,89,1829996,1
R0608,New York,Indian,36,84,15,4.0,15147,270,35,Yes,17958,80,410777,1
R0609,Los Angeles,Mexican,49,68,8,3.8,8184,216,45,Yes,18798,90,994177,0
R0610,New York,Chinese,11,71,12,3.3,21851,220,14,Yes,14840,86,1162047,1
R0611,New York,Mexican,22,121,22,3.7,16553,224,6,No,1088,51,460372,0
R0612,New York,Chinese,41,76,22,3.8,20408,49,42,No,3731,51,1680151,0
R0613,San Francisco,Mexican,40,66,18,3.0,39068,35,19,Yes,6851,88,444861,1
R0614,Chicago,Indian,25,45,15,3.3,30177,36,7,Yes,4338,98,1419796,0
R0615,New York,Indian,41,133,17,4.5,43146,199,47,Yes,2473,91,1586377,1
R0616,Chicago,Italian,41,24,29,4.8,34875,92,35,No,14846,93,1739339,1
R0617,Houston,Vegan,43,103,14,3.4,48670,179,10,No,5544,83,1042855,1
R0618,Los Angeles,Mexican,20,71,14,3.3,46197,176,7,Yes,10747,91,100151,1
R0619,Houston,Japanese,19,124,18,3.0,24603,197,15,No,12172,69,1690248,1
R0620,Houston,Italian,24,73,20,4.2,2879,178,19,Yes,10771,82,412009,0
R0621,San Francisco,Mexican,26,34,18,3.3,21404,298,49,No,7183,53,607829,1
R0622,Los Angeles,Mexican,49,80,16,5.0,855,238,32,No,11744,94,122847,0
R0623,Houston,Italian,27,141,1,3.3,39363,106,14,No,7283,93,792459,1
R0624,Houston,Indian,18,40,23,3.5,43055,25,42,No,6094,60,261811,1
R0625,Los Angeles,Mexican,34,65,27,4.0,42381,288,11,Yes,4322,91,887387,0
R0626,Los Angeles,Indian,49,57,11,4.5,17500,144,19,No,3889,96,976794,0
